image_id,corridor_id,primitive_id,prompt,candidate_index,sam_score,inside_corridor_ratio,seed_overlap_ratio,iou_seed,groove_overlap,glare_overlap,area_ratio,selector_score,accepted
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,0,0.107421875,0.00297877721596737,0.0,0.0,0.03357346881015514,0.05189748853445053,11.408083352415845,0.009870761259311557,False
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,1,0.118408203125,0.0017759042755692996,0.0,0.0,0.03217470644408667,0.05308910831809044,10.76672773070758,0.011454466033618074,False
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,2,0.0849609375,0.0,0.0,0.0,0.021320953614226108,0.05373051390051842,7.798419967941379,0.01189116896516293,False
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,3,0.08660888671875,0.0,0.0,0.0,0.020653606654242988,0.05183717980980873,7.557018548202428,0.012701556167034445,False
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,4,0.10247802734375,0.004492217455432587,0.0,0.0,0.02533071693439843,0.060333650559186935,15.975520952599037,0.008670010160991608,False
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,5,0.95751953125,0.7927841911871076,0.46056789558049005,0.21700851288801615,0.016824349738159303,0.12653732299804688,1.5829173345546141,0.5381450460795387,True
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,6,0.09075927734375,0.0296866279148913,0.0019464163040989239,0.00013465197217615014,0.03481533916878803,0.05073998123407364,13.457110144263797,0.014725998645518854,False
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,7,0.138427734375,0.05745865460543535,0.033409663384474465,0.0015520054804196266,0.02966933708149239,0.05995015799999237,20.56017861231967,0.03607002781217329,False
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,8,0.0894775390625,0.0,0.0,0.0,0.017834713613201672,0.05781276524066925,8.969727501717426,0.011464229305451726,False
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,9,0.09588623046875,0.7201063268798227,0.44522555530112207,0.16596954280055998,0.021276137794470573,0.10952635854482651,2.127799404625601,0.39120032375036934,False
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,10,0.1153564453125,0.0,0.0,0.0,0.006231140520126267,0.08167264610528946,3.6198076482711246,0.0281633554938974,False
TVI8711_01,1,1,raised fleshy surface region on a bitter melon,11,0.09173583984375,0.0014306428642115545,0.0,0.0,0.031684974592643265,0.053405724465847015,10.644057705518662,0.008315358599777913,False
TVI8711_01,1,1,raised fleshy region between dark grooves on bitter melon surface,0,0.09088134765625,0.0,0.0,0.0,0.029283532241182315,0.05619731917977333,8.597824593542478,0.009857948975585472,False
TVI8711_01,1,1,raised fleshy region between dark grooves on bitter melon surface,1,0.080810546875,0.0,0.0,0.0,0.021729171136794612,0.05422726646065712,7.8974582092970005,0.01114309159179807,False
TVI8711_01,1,1,raised fleshy region between dark grooves on bitter melon surface,2,0.94775390625,0.750726701073738,0.1877261277765056,0.15666265359552065,0.012932312985703269,0.17706327140331268,0.38600870162583006,0.4131804736357216,False
